3
Insert(-183.92,Value0)
Insert(-9.11,Value4142)
Insert(-157.27,Value4143)
Insert(-314.09,Value4144)
Insert(481.55,Value4145)
Insert(-127.74,Value4146)
Insert(-484.38,Value4147)
Insert(173.76,Value4148)
Insert(-101.12,Value4149)
Insert(96.27,Value4150)
Insert(242.42,Value4151)
Insert(29.35,Value4152)
Insert(459.78,Value4153)
Insert(-321.29,Value4154)
Insert(-12.38,Value4155)
Insert(337.58,Value4156)
Insert(340.04,Value4157)
Insert(383.68,Value4158)
Insert(287.44,Value4159)
Insert(426.18,Value4160)
Insert(487.89,Value4161)
Insert(-57.01,Value4162)
Insert(291.26,Value4163)
Insert(262.53,Value4164)
Insert(142.76,Value4165)
Insert(-60.23,Value4166)
Insert(-483.32,Value4167)
Insert(40.68,Value4168)
Insert(-8.53,Value4169)
Insert(120.02,Value4170)
Insert(-443.55,Value4171)
Insert(-436.08,Value4172)
Insert(91.17,Value4173)
Insert(219.44,Value4174)
Insert(-483.23,Value4175)
Insert(498.96,Value4176)
Insert(465.63,Value4177)
Insert(232.35,Value4178)
Insert(31.52,Value4179)
Insert(442.41,Value4180)
Insert(91.64,Value4181)
Insert(-304.83,Value4182)
Insert(-144.24,Value4183)
Insert(-418.26,Value4184)
Insert(-187.86,Value4185)
Insert(-9.66,Value4186)
Insert(-389.57,Value4187)
Insert(358.23,Value4188)
Insert(-72.41,Value4189)
Insert(220.39,Value4190)
Insert(-57.73,Value4191)
Insert(65.37,Value4192)
Insert(-70.07,Value4193)
Insert(356.63,Value4194)
Insert(-251.48,Value4195)
Insert(426.92,Value4196)
Insert(-27.71,Value4197)
Insert(90.02,Value4198)
Insert(-167.45,Value4199)
Insert(-348.59,Value4200)
Insert(258.59,Value4201)
Insert(-345.15,Value4202)
Insert(412.25,Value4203)
Insert(-240.55,Value4204)
Insert(87.63,Value4205)
Insert(290.8,Value4206)
Insert(353.01,Value4207)
Insert(288.22,Value4208)
Insert(-151.67,Value4209)
Insert(81.23,Value4210)
Insert(-37.71,Value4211)
Insert(199.94,Value4212)
Insert(312.2,Value4213)
Insert(-218.16,Value4214)
Insert(437.87,Value4215)
Insert(313.43,Value4216)
Insert(-480.19,Value4217)
Insert(36.51,Value4218)
Insert(224.46,Value4219)
Insert(258.36,Value4220)
Insert(-79.48,Value4221)
Insert(-19.17,Value4222)
Insert(-136.44,Value4223)
Insert(246.04,Value4224)
Insert(58.26,Value4225)
Insert(245.66,Value4226)
Insert(-461.42,Value4227)
Insert(472.66,Value4228)
Insert(-416.86,Value4229)
Insert(-18.63,Value4230)
Insert(287.33,Value4231)
Insert(335.12,Value4232)
Insert(-354.58,Value4233)
Insert(-80.82,Value4234)
Insert(-355.72,Value4235)
Insert(107.72,Value4236)
Insert(129.41,Value4237)
Insert(-51.27,Value4238)
Insert(182.59,Value4239)
Insert(185.91,Value4240)
Insert(-269.67,Value4241)
Insert(-258.17,Value4242)
Insert(-442.51,Value4243)
Insert(412.23,Value4244)
Insert(-58.58,Value4245)
Insert(185.02,Value4246)
Insert(322.53,Value4247)
Insert(-81.81,Value4248)
Insert(301.3,Value4249)
Insert(188.36,Value4250)
Insert(482.32,Value4251)
Insert(-284.79,Value4252)
Insert(357.62,Value4253)
Insert(-180.91,Value4254)
Insert(77.07,Value4255)
Insert(278.57,Value4256)
Insert(-49.56,Value4257)
Insert(432.62,Value4258)
Insert(-63.69,Value4259)
Insert(292.65,Value4260)
Insert(23.57,Value4261)
Insert(447.73,Value4262)
Insert(-158.08,Value4263)
Insert(-290.99,Value4264)
Insert(-111.97,Value4265)
Insert(-118.87,Value4266)
Insert(236.83,Value4267)
Insert(-48.16,Value4268)
Insert(221.21,Value4269)
Insert(364.35,Value4270)
Insert(-310.08,Value4271)
Insert(112.36,Value4272)
Insert(-248.92,Value4273)
Insert(496.02,Value4274)
Insert(22.17,Value4275)
Insert(302.7,Value4276)
Insert(-328.93,Value4277)
Insert(496.62,Value4278)
Insert(248.84,Value4279)
Insert(202.95,Value4280)
Insert(10.43,Value4281)
Insert(32.65,Value4282)
Insert(-151.82,Value4283)
Insert(-186.88,Value4284)
Insert(-127.43,Value4285)
Insert(-15.12,Value4286)
Insert(309.28,Value4287)
Insert(-393.93,Value4288)
Insert(35.61,Value4289)
Insert(-41.41,Value4290)
Insert(-318.03,Value4291)
Insert(442.34,Value4292)
Insert(-292.97,Value4293)
Insert(169.44,Value4294)
Insert(232.55,Value4295)
Insert(48.37,Value4296)
Insert(34.46,Value4297)
Insert(-445.96,Value4298)
Insert(199.75,Value4299)
Insert(-265.56,Value4300)
Insert(140.64,Value4301)
Insert(69.94,Value4302)
Insert(53.76,Value4303)
Insert(-474.15,Value4304)
Insert(146.69,Value4305)
Insert(-40.69,Value4306)
Insert(16.25,Value4307)
Insert(205.22,Value4308)
Insert(-273.17,Value4309)
Insert(-323.83,Value4310)
Insert(214.96,Value4311)
Insert(314.43,Value4312)
Insert(-482.29,Value4313)
Insert(-225.06,Value4314)
Insert(-44.74,Value4315)
Insert(277.12,Value4316)
Insert(419.32,Value4317)
Insert(306.88,Value4318)
Insert(405.89,Value4319)
Insert(-463.61,Value4320)
Insert(271.67,Value4321)
Insert(-20.2,Value4322)
Insert(151.34,Value4323)
Insert(-316.58,Value4324)
Insert(112.58,Value4325)
Insert(41.24,Value4326)
Insert(316.19,Value4327)
Insert(-401.96,Value4328)
Insert(26.62,Value4329)
Insert(-200.72,Value4330)
Insert(390.65,Value4331)
Insert(298.44,Value4332)
Insert(-37.15,Value4333)
Insert(-303.96,Value4334)
Insert(-332.99,Value4335)
Insert(131.99,Value4336)
Insert(341.65,Value4337)
Insert(-115.96,Value4338)
Insert(244.12,Value4339)
Insert(-467.79,Value4340)
Insert(-267.45,Value4341)
Insert(-220.28,Value4342)
Insert(27.54,Value4343)
Insert(49.41,Value4344)
Insert(229.51,Value4345)
Insert(-180.26,Value4346)
Insert(437.75,Value4347)
Insert(257.04,Value4348)
Insert(169.71,Value4349)
Insert(-46.62,Value4350)
Insert(416.53,Value4351)
Insert(-492.75,Value4352)
Insert(-125.92,Value4353)
Insert(-250.62,Value4354)
Insert(392.26,Value4355)
Insert(-489.34,Value4356)
Insert(-364.13,Value4357)
Insert(111.25,Value4358)
Insert(-311.12,Value4359)
Insert(-37.09,Value4360)
Insert(-332.23,Value4361)
Insert(52.79,Value4362)
Insert(-191.37,Value4363)
Insert(21.03,Value4364)
Insert(383.67,Value4365)
Insert(247.11,Value4366)
Insert(-351.02,Value4367)
Insert(441.85,Value4368)
Insert(468.21,Value4369)
Insert(-39.78,Value4370)
Insert(63.31,Value4371)
Insert(-205.82,Value4372)
Insert(73.68,Value4373)
Insert(499.64,Value4374)
Insert(302.91,Value4375)
Insert(-277.39,Value4376)
Insert(-97.55,Value4377)
Insert(-387.49,Value4378)
Insert(10.41,Value4379)
Insert(407.88,Value4380)
Insert(250.96,Value4381)
Insert(-241.15,Value4382)
Insert(-159.4,Value4383)
Insert(385.37,Value4384)
Insert(-481.27,Value4385)
Insert(467.21,Value4386)
Insert(392.45,Value4387)
Insert(-495.64,Value4388)
Insert(-156.9,Value4389)
Insert(18.18,Value4390)
Insert(150.29,Value4391)
Insert(-428.54,Value4392)
Insert(341.07,Value4393)
Insert(-204.83,Value4394)
Insert(153.38,Value4395)
Insert(-0.02,Value4396)
Insert(430.59,Value4397)
Insert(350.63,Value4398)
Insert(-392.07,Value4399)
Insert(455.59,Value4400)
Insert(-292.96,Value4401)
Insert(-293.42,Value4402)
Insert(-129.89,Value4403)
Insert(378.17,Value4404)
Insert(452.52,Value4405)
Insert(-154.95,Value4406)
Insert(-433.22,Value4407)
Insert(135.6,Value4408)
Insert(-127.47,Value4409)
Insert(422.13,Value4410)
Insert(-445.21,Value4411)
Insert(48.53,Value4412)
Insert(224.77,Value4413)
Insert(-438.99,Value4414)
Insert(149.47,Value4415)
Insert(190.89,Value4416)
Insert(29.24,Value4417)
Insert(-376.47,Value4418)
Insert(-141.57,Value4419)
Insert(257.32,Value4420)
Insert(-398.01,Value4421)
Insert(347.76,Value4422)
Insert(-239.12,Value4423)
Insert(95.07,Value4424)
Insert(-420.75,Value4425)
Insert(-149.25,Value4426)
Insert(-330.36,Value4427)
Insert(-423.89,Value4428)
Insert(472.92,Value4429)
Insert(261.03,Value4430)
Insert(314.38,Value4431)
Insert(325.65,Value4432)
Insert(-334.49,Value4433)
Insert(-323.79,Value4434)
Insert(492.09,Value4435)
Insert(-304.77,Value4436)
Insert(-159.6,Value4437)
Insert(-257.78,Value4438)
Insert(-108.73,Value4439)
Insert(494.69,Value4440)
Insert(-50.38,Value4441)
Insert(-494.57,Value4442)
Insert(-48.11,Value4443)
Insert(-402.53,Value4444)
Insert(382.47,Value4445)
Insert(499.87,Value4446)
Insert(5.52,Value4447)
Insert(376.05,Value4448)
Insert(-259.94,Value4449)
Insert(90.57,Value4450)
Insert(125.93,Value4451)
Insert(0.87,Value4452)
Insert(-444.25,Value4453)
Insert(-358.47,Value4454)
Insert(165.68,Value4455)
Insert(-390.33,Value4456)
Insert(472.24,Value4457)
Insert(-396.54,Value4458)
Insert(41.71,Value4459)
Insert(3.43,Value4460)
Insert(449.01,Value4461)
Insert(210.29,Value4462)
Insert(212.26,Value4463)
Insert(364.44,Value4464)
Insert(84.73,Value4465)
Insert(113.73,Value4466)
Insert(-335.83,Value4467)
Insert(183.19,Value4468)
Insert(395.41,Value4469)
Insert(-28.04,Value4470)
Insert(-30.17,Value4471)
Insert(-396.79,Value4472)
Insert(460.42,Value4473)
Insert(-275.86,Value4474)
Insert(-243.79,Value4475)
Insert(417.15,Value4476)
Insert(-31.77,Value4477)
Insert(279.77,Value4478)
Insert(467.19,Value4479)
Insert(-154.34,Value4480)
Insert(373.29,Value4481)
Insert(357.35,Value4482)
Insert(436.08,Value4483)
Insert(444.12,Value4484)
Insert(133.03,Value4485)
Insert(-202.01,Value4486)
Insert(-62.56,Value4487)
Insert(-281.68,Value4488)
Insert(-405.18,Value4489)
Insert(333.09,Value4490)
Insert(-170.45,Value4491)
Insert(271.05,Value4492)
Insert(488.66,Value4493)
Insert(-51.02,Value4494)
Insert(-21.21,Value4495)
Insert(-44.85,Value4496)
Insert(-199.46,Value4497)
Insert(364.33,Value4498)
Insert(-291.48,Value4499)
Insert(360.51,Value4500)
Insert(498.75,Value4501)
Insert(-410.04,Value4502)
Insert(-355.03,Value4503)
Insert(-260.54,Value4504)
Insert(-326.18,Value4505)
Insert(219.16,Value4506)
Insert(-85.53,Value4507)
Insert(472.85,Value4508)
Insert(166.17,Value4509)
Insert(-370.01,Value4510)
Insert(328.16,Value4511)
Insert(-12.85,Value4512)
Insert(-22.58,Value4513)
Insert(-52.34,Value4514)
Insert(-123.28,Value4515)
Insert(-232.46,Value4516)
Insert(475.94,Value4517)
Insert(171.17,Value4518)
Insert(41.38,Value4519)
Insert(-85.91,Value4520)
Insert(143.71,Value4521)
Insert(-87.66,Value4522)
Insert(-301.92,Value4523)
Insert(268.82,Value4524)
Insert(145.83,Value4525)
Insert(-447.52,Value4526)
Insert(334.92,Value4527)
Insert(-187.07,Value4528)
Insert(-32.96,Value4529)
Insert(-143.06,Value4530)
Insert(-183.58,Value4531)
Insert(-488.87,Value4532)
Insert(482.35,Value4533)
Insert(-121.67,Value4534)
Insert(101.16,Value4535)
Insert(-273.55,Value4536)
Insert(246.93,Value4537)
Insert(284.38,Value4538)
Insert(-482.02,Value4539)
Insert(498.43,Value4540)
Insert(-188.85,Value4541)
Insert(-300.96,Value4542)
Insert(186.01,Value4543)
Insert(218.49,Value4544)
Insert(-22.12,Value4545)
Insert(-309.25,Value4546)
Insert(-484.02,Value4547)
Insert(-131.66,Value4548)
Insert(-436.69,Value4549)
Insert(380.98,Value4550)
Insert(392.66,Value4551)
Insert(-371.26,Value4552)
Insert(304.48,Value4553)
Insert(188.41,Value4554)
Insert(-484.95,Value4555)
Insert(112.91,Value4556)
Insert(481.04,Value4557)
Insert(467.82,Value4558)
Insert(104.83,Value4559)
Insert(449.77,Value4560)
Insert(-365.06,Value4561)
Insert(-293.83,Value4562)
Insert(145.47,Value4563)
Insert(178.61,Value4564)
Insert(43.65,Value4565)
Insert(-47.22,Value4566)
Insert(-446.36,Value4567)
Insert(128.09,Value4568)
Insert(269.56,Value4569)
Insert(216.21,Value4570)
Insert(-282.15,Value4571)
Insert(-13.81,Value4572)
Insert(420.99,Value4573)
Insert(11.44,Value4574)
Insert(-27.22,Value4575)
Insert(177.57,Value4576)
Insert(-120.76,Value4577)
Insert(39.52,Value4578)
Insert(413.03,Value4579)
Insert(247.15,Value4580)
Insert(-4.42,Value4581)
Insert(-46.96,Value4582)
Insert(-18.49,Value4583)
Insert(150.21,Value4584)
Insert(-29.18,Value4585)
Insert(81.49,Value4586)
Insert(116.26,Value4587)
Insert(-363.18,Value4588)
Insert(329.71,Value4589)
Insert(-260.63,Value4590)
Insert(2.34,Value4591)
Insert(-142.77,Value4592)
Insert(224.31,Value4593)
Insert(-393.82,Value4594)
Insert(-368.81,Value4595)
Insert(-336.34,Value4596)
Insert(-89.43,Value4597)
Insert(-74.2,Value4598)
Insert(127.27,Value4599)
Insert(-339.85,Value4600)
Insert(65.97,Value4601)
Insert(-321.21,Value4602)
Insert(-189.69,Value4603)
Insert(161.07,Value4604)
Insert(347.99,Value4605)
Insert(315.42,Value4606)
Insert(-177.25,Value4607)
Insert(135.05,Value4608)
Insert(-142.92,Value4609)
Insert(-258.16,Value4610)
Insert(-489.29,Value4611)
Insert(122.64,Value4612)
Insert(-222.96,Value4613)
Insert(-262.87,Value4614)
Insert(269.89,Value4615)
Insert(10.31,Value4616)
Insert(278.33,Value4617)
Insert(-426.16,Value4618)
Insert(258.22,Value4619)
Insert(361.82,Value4620)
Insert(-285.09,Value4621)
Insert(-444.74,Value4622)
Insert(201.11,Value4623)
Insert(132.98,Value4624)
Insert(-285.02,Value4625)
Insert(-139.38,Value4626)
Insert(-187.89,Value4627)
Insert(-211.83,Value4628)
Insert(-135.32,Value4629)
Insert(-353.07,Value4630)
Insert(149.02,Value4631)
Insert(-353.62,Value4632)
Insert(-333.35,Value4633)
Insert(442.83,Value4634)
Insert(-331.62,Value4635)
Insert(167.88,Value4636)
Insert(134.12,Value4637)
Insert(-187.63,Value4638)
Insert(355.39,Value4639)
Insert(-96.27,Value4640)
Insert(387.84,Value4641)
Insert(-169.39,Value4642)
Insert(-296.05,Value4643)
Insert(10.48,Value4644)
Insert(-133.36,Value4645)
Insert(-343.94,Value4646)
Insert(101.87,Value4647)
Insert(189.23,Value4648)
Insert(245.07,Value4649)
Insert(-290.39,Value4650)
Insert(-440.89,Value4651)
Insert(-120.73,Value4652)
Insert(-391.66,Value4653)
Insert(-93.09,Value4654)
Insert(474.25,Value4655)
Insert(435.98,Value4656)
Insert(167.76,Value4657)
Insert(390.57,Value4658)
Insert(211.39,Value4659)
Insert(125.42,Value4660)
Insert(374.32,Value4661)
Insert(-197.04,Value4662)
Insert(-211.13,Value4663)
Insert(-78.24,Value4664)
Insert(173.44,Value4665)
Insert(-301.8,Value4666)
Insert(-256.08,Value4667)
Insert(-363.52,Value4668)
Insert(427.74,Value4669)
Insert(58.83,Value4670)
Insert(470.88,Value4671)
Insert(86.19,Value4672)
Insert(137.72,Value4673)
Insert(495.83,Value4674)
Insert(132.33,Value4675)
Insert(165.04,Value4676)
Insert(334.76,Value4677)
Insert(-341.89,Value4678)
Insert(438.86,Value4679)
Insert(-459.16,Value4680)
Insert(-241.01,Value4681)
Insert(-29.51,Value4682)
Insert(458.07,Value4683)
Insert(-257.79,Value4684)
Insert(-116.75,Value4685)
Insert(-47.21,Value4686)
Insert(-194.33,Value4687)
Insert(-221.76,Value4688)
Insert(357.09,Value4689)
Insert(352.21,Value4690)
Insert(466.71,Value4691)
Insert(-102.52,Value4692)
Insert(460.51,Value4693)
Insert(-21.86,Value4694)
Insert(400.82,Value4695)
Insert(413.77,Value4696)
Insert(-87.41,Value4697)
Insert(-421.41,Value4698)
Insert(-323.49,Value4699)
Insert(-363.72,Value4700)
Insert(203.72,Value4701)
Insert(-294.66,Value4702)
Insert(-249.66,Value4703)
Insert(-338.08,Value4704)
Insert(-52.72,Value4705)
Insert(154.15,Value4706)
Insert(301.43,Value4707)
Insert(167.86,Value4708)
Insert(178.42,Value4709)
Insert(-97.95,Value4710)
Insert(-138.4,Value4711)
Insert(180.11,Value4712)
Insert(470.14,Value4713)
Insert(-223.77,Value4714)
Insert(214.32,Value4715)
Insert(-237.82,Value4716)
Insert(-164.17,Value4717)
Insert(-458.38,Value4718)
Insert(-228.34,Value4719)
Insert(-269.58,Value4720)
Insert(-343.68,Value4721)
Insert(-288.46,Value4722)
Insert(453.29,Value4723)
Insert(-89.13,Value4724)
Insert(194.04,Value4725)
Insert(-206.94,Value4726)
Insert(424.04,Value4727)
Insert(76.73,Value4728)
Insert(-258.19,Value4729)
Insert(-253.72,Value4730)
Insert(-448.67,Value4731)
Insert(369.32,Value4732)
Insert(343.81,Value4733)
Insert(-356.05,Value4734)
Insert(-337.99,Value4735)
Insert(301.92,Value4736)
Insert(380.38,Value4737)
Insert(-319.26,Value4738)
Insert(265.75,Value4739)
Insert(-257.24,Value4740)
Insert(-247.12,Value4741)
Insert(271.8,Value4742)
Insert(-189.71,Value4743)
Insert(-234.11,Value4744)
Insert(0.38,Value4745)
Insert(-446.11,Value4746)
Insert(-435.92,Value4747)
Insert(-13.31,Value4748)
Insert(-218.56,Value4749)
Insert(474.99,Value4750)
Insert(-318.81,Value4751)
Insert(-348.28,Value4752)
Insert(-196.91,Value4753)
Insert(-209.25,Value4754)
Insert(439.67,Value4755)
Insert(234.26,Value4756)
Insert(-489.48,Value4757)
Insert(61.03,Value4758)
Insert(162.51,Value4759)
Insert(-19.39,Value4760)
Insert(-433.77,Value4761)
Insert(20.52,Value4762)
Insert(332.31,Value4763)
Insert(222.16,Value4764)
Insert(269.09,Value4765)
Insert(-370.63,Value4766)
Insert(167.81,Value4767)
Insert(243.01,Value4768)
Insert(33.88,Value4769)
Insert(99.23,Value4770)
Insert(-459.22,Value4771)
Insert(424.59,Value4772)
Insert(-192.53,Value4773)
Insert(-201.79,Value4774)
Insert(-382.35,Value4775)
Insert(-475.54,Value4776)
Insert(-194.72,Value4777)
Insert(452.78,Value4778)
Insert(-408.28,Value4779)
Insert(-329.38,Value4780)
Insert(-300.21,Value4781)
Insert(-260.39,Value4782)
Insert(375.09,Value4783)
Insert(-392.39,Value4784)
Insert(299.29,Value4785)
Insert(-239.46,Value4786)
Insert(238.38,Value4787)
Insert(217.44,Value4788)
Insert(190.02,Value4789)
Insert(395.02,Value4790)
Insert(200.04,Value4791)
Insert(61.57,Value4792)
Insert(443.69,Value4793)
Insert(399.89,Value4794)
Insert(-401.25,Value4795)
Insert(-22.86,Value4796)
Insert(-222.05,Value4797)
Insert(-223.69,Value4798)
Insert(221.68,Value4799)
Insert(165.57,Value4800)
Insert(415.41,Value4801)
Insert(336.83,Value4802)
Insert(-251.86,Value4803)
Insert(-291.37,Value4804)
Insert(475.53,Value4805)
Insert(-54.24,Value4806)
Insert(-406.23,Value4807)
Insert(158.56,Value4808)
Insert(-271.48,Value4809)
Insert(444.99,Value4810)
Insert(172.35,Value4811)
Insert(184.21,Value4812)
Insert(-403.84,Value4813)
Insert(105.38,Value4814)
Insert(88.71,Value4815)
Insert(-35.09,Value4816)
Insert(-496.06,Value4817)
Insert(-145.04,Value4818)
Insert(66.15,Value4819)
Insert(349.97,Value4820)
Insert(-385.95,Value4821)
Insert(391.45,Value4822)
Insert(-191.09,Value4823)
Insert(11.92,Value4824)
Insert(-406.91,Value4825)
Insert(45.21,Value4826)
Insert(-82.71,Value4827)
Insert(493.29,Value4828)
Insert(-326.13,Value4829)
Insert(-9.19,Value4830)
Insert(175.14,Value4831)
Insert(-489.09,Value4832)
Insert(-411.32,Value4833)
Insert(-319.76,Value4834)
Insert(44.34,Value4835)
Insert(-44.64,Value4836)
Insert(-177.87,Value4837)
Insert(-404.43,Value4838)
Insert(-260.25,Value4839)
Insert(228.62,Value4840)
Insert(482.66,Value4841)
Insert(374.42,Value4842)
Insert(-434.14,Value4843)
Insert(-187.62,Value4844)
Insert(-432.94,Value4845)
Insert(-184.88,Value4846)
Insert(323.17,Value4847)
Insert(-259.63,Value4848)
Insert(-13.98,Value4849)
Insert(74.27,Value4850)
Insert(302.07,Value4851)
Insert(-347.45,Value4852)
Insert(-245.02,Value4853)
Insert(-54.71,Value4854)
Insert(-371.09,Value4855)
Insert(316.96,Value4856)
Insert(-245.56,Value4857)
Insert(-160.51,Value4858)
Insert(-191.68,Value4859)
Insert(82.35,Value4860)
Insert(423.87,Value4861)
Insert(405.62,Value4862)
Insert(180.31,Value4863)
Insert(97.03,Value4864)
Insert(140.23,Value4865)
Insert(-126.49,Value4866)
Insert(203.83,Value4867)
Insert(158.54,Value4868)
Insert(324.12,Value4869)
Insert(60.05,Value4870)
Insert(-454.43,Value4871)
Insert(475.31,Value4872)
Insert(-284.26,Value4873)
Insert(-138.58,Value4874)
Insert(-321.09,Value4875)
Insert(-174.95,Value4876)
Insert(297.63,Value4877)
Insert(-197.01,Value4878)
Insert(18.46,Value4879)
Insert(343.95,Value4880)
Insert(398.79,Value4881)
Insert(-366.34,Value4882)
Insert(-410.84,Value4883)
Insert(-312.23,Value4884)
Insert(408.95,Value4885)
Insert(-342.56,Value4886)
Insert(-402.61,Value4887)
Insert(-376.08,Value4888)
Insert(256.94,Value4889)
Insert(438.26,Value4890)
Insert(297.74,Value4891)
Insert(477.42,Value4892)
Insert(-497.65,Value4893)
Insert(-223.76,Value4894)
Insert(197.62,Value4895)
Insert(199.42,Value4896)
Insert(-441.96,Value4897)
Insert(131.62,Value4898)
Insert(-44.56,Value4899)
Insert(169.22,Value4900)
Insert(-11.59,Value4901)
Insert(321.62,Value4902)
Insert(399.65,Value4903)
Insert(-250.43,Value4904)
Insert(-347.07,Value4905)
Insert(-176.54,Value4906)
Insert(-68.98,Value4907)
Insert(173.27,Value4908)
Insert(417.46,Value4909)
Insert(-419.93,Value4910)
Insert(402.25,Value4911)
Insert(228.33,Value4912)
Insert(-400.88,Value4913)
Insert(363.87,Value4914)
Insert(13.64,Value4915)
Insert(-168.16,Value4916)
Insert(-394.28,Value4917)
Insert(-35.96,Value4918)
Insert(344.94,Value4919)
Insert(-151.4,Value4920)
Insert(354.14,Value4921)
Insert(49.18,Value4922)
Insert(-451.84,Value4923)
Insert(-142.97,Value4924)
Insert(-359.54,Value4925)
Insert(442.89,Value4926)
Insert(385.26,Value4927)
Insert(-57.66,Value4928)
Insert(217.06,Value4929)
Insert(-94.15,Value4930)
Insert(-26.29,Value4931)
Insert(-248.54,Value4932)
Insert(322.08,Value4933)
Insert(56.63,Value4934)
Insert(-391.63,Value4935)
Insert(97.74,Value4936)
Insert(291.72,Value4937)
Insert(188.81,Value4938)
Insert(-57.22,Value4939)
Insert(-140.04,Value4940)
Insert(54.47,Value4941)
Insert(-248.09,Value4942)
Insert(490.94,Value4943)
Insert(434.94,Value4944)
Insert(115.17,Value4945)
Insert(-35.43,Value4946)
Insert(404.99,Value4947)
Insert(403.91,Value4948)
Insert(-373.54,Value4949)
Insert(-314.28,Value4950)
Insert(-297.46,Value4951)
Insert(-57.37,Value4952)
Insert(-497.26,Value4953)
Insert(214.08,Value4954)
Insert(-181.89,Value4955)
Insert(-123.32,Value4956)
Insert(-393.71,Value4957)
Insert(58.07,Value4958)
Insert(496.79,Value4959)
Insert(457.54,Value4960)
Insert(-85.59,Value4961)
Insert(284.99,Value4962)
Insert(132.39,Value4963)
Insert(-200.71,Value4964)
Insert(-435.87,Value4965)
Insert(420.82,Value4966)
Insert(-73.66,Value4967)
Insert(-462.79,Value4968)
Insert(-451.19,Value4969)
Insert(22.39,Value4970)
Insert(73.14,Value4971)
Insert(-136.73,Value4972)
Insert(18.36,Value4973)
Insert(422.75,Value4974)
Insert(9.21,Value4975)
Insert(-212.37,Value4976)
Insert(206.79,Value4977)
Insert(-435.16,Value4978)
Insert(407.52,Value4979)
Insert(43.09,Value4980)
Insert(-204.39,Value4981)
Insert(-491.29,Value4982)
Insert(316.34,Value4983)
Insert(-307.92,Value4984)
Insert(-380.45,Value4985)
Insert(460.83,Value4986)
Insert(34.42,Value4987)
Insert(-491.69,Value4988)
Insert(327.02,Value4989)
Insert(253.29,Value4990)
Insert(205.07,Value4991)
Insert(-296.93,Value4992)
Insert(250.29,Value4993)
Insert(-151.77,Value4994)
Insert(16.75,Value4995)
Insert(470.65,Value4996)
Insert(-444.34,Value4997)
Insert(-61.92,Value4998)
Insert(-221.16,Value4999)
Insert(-495.32,Value5000)
Insert(-281.64,Value5001)
Insert(-229.25,Value5002)
Insert(-312.49,Value5003)
Insert(-34.55,Value5004)
Insert(-143.77,Value5005)
Insert(44.35,Value5006)
Insert(434.48,Value5007)
Insert(-205.61,Value5008)
Insert(453.91,Value5009)
Insert(-308.23,Value5010)
Insert(-234.94,Value5011)
Insert(-284.66,Value5012)
Insert(388.06,Value5013)
Insert(-362.13,Value5014)
Insert(25.95,Value5015)
Insert(466.02,Value5016)
Insert(-159.53,Value5017)
Insert(393.04,Value5018)
Insert(-311.06,Value5019)
Insert(368.18,Value5020)
Insert(-309.49,Value5021)
Insert(-4.64,Value5022)
Insert(50.45,Value5023)
Insert(175.21,Value5024)
Insert(163.45,Value5025)
Insert(-5.32,Value5026)
Insert(-369.89,Value5027)
Insert(26.44,Value5028)
Insert(126.16,Value5029)
Insert(35.33,Value5030)
Insert(431.32,Value5031)
Insert(241.53,Value5032)
Insert(184.62,Value5033)
Insert(-115.86,Value5034)
Insert(-229.54,Value5035)
Insert(-26.43,Value5036)
Insert(291.07,Value5037)
Insert(106.26,Value5038)
Insert(301.47,Value5039)
Insert(-272.71,Value5040)
Insert(243.43,Value5041)
Insert(46.39,Value5042)
Insert(-316.23,Value5043)
Insert(286.65,Value5044)
Insert(366.14,Value5045)
Insert(-331.26,Value5046)
Insert(156.61,Value5047)
Insert(-151.52,Value5048)
Insert(252.85,Value5049)
Insert(291.93,Value5050)
Insert(333.66,Value5051)
Insert(-280.75,Value5052)
Insert(266.27,Value5053)
Insert(119.75,Value5054)
Insert(-89.73,Value5055)
Insert(387.61,Value5056)
Insert(-113.02,Value5057)
Insert(-222.82,Value5058)
Insert(86.97,Value5059)
Insert(-90.59,Value5060)
Insert(428.71,Value5061)
Insert(461.11,Value5062)
Insert(-334.57,Value5063)
Insert(214.71,Value5064)
Insert(-62.45,Value5065)
Insert(51.73,Value5066)
Insert(144.85,Value5067)
Insert(458.26,Value5068)
Insert(-412.61,Value5069)
Insert(136.86,Value5070)
Insert(421.12,Value5071)
Insert(426.77,Value5072)
Insert(-260.02,Value5073)
Insert(319.12,Value5074)
Insert(-280.53,Value5075)
Insert(399.06,Value5076)
Insert(-187.02,Value5077)
Insert(369.82,Value5078)
Insert(154.34,Value5079)
Insert(366.84,Value5080)
Insert(359.93,Value5081)
Insert(317.81,Value5082)
Insert(466.34,Value5083)
Insert(-372.76,Value5084)
Insert(368.68,Value5085)
Insert(160.67,Value5086)
Insert(-403.04,Value5087)
Insert(-321.46,Value5088)
Insert(192.75,Value5089)
Insert(-141.58,Value5090)
Insert(229.73,Value5091)
Insert(-74.94,Value5092)
Insert(-480.21,Value5093)
Insert(-63.21,Value5094)
Insert(307.56,Value5095)
Insert(-366.75,Value5096)
Insert(125.02,Value5097)
Insert(-380.95,Value5098)
Insert(-127.98,Value5099)
Insert(181.12,Value5100)
Insert(316.62,Value5101)
Insert(254.07,Value5102)
Insert(-333.69,Value5103)
Insert(175.46,Value5104)
Insert(-322.74,Value5105)
Insert(317.74,Value5106)
